Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C4",0805,2,10uF,C15850
"C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C3, C30, C31, C32, C34, C35, C36, C37, C38, C39, C40, C41, C42, C46, C47, C48, C49, C50, C51, C52, C53, C54, C57, C58, C59, C6, C60, C61, C62, C63, C64, C65, C66, C67, C68, C69, C7, C70, C71, C72, C73, C74, C77, C78, C79, C8, C80, C81, C82, C83, C84, C85, C9",0402,73,0.1uF,C83056
"C2, C43, C45, C5, C55, C56, C87, C88, C89, C91, C92",0603,11,0.1uF,C1591
"C33, C44, C75, C90",0805,4,10uF,C1850
C76,0603,1,1uF,C5673
C86,0805,1,22uF,C98190
"C93, C94",0603,2,10uF,C38898
C95,0603,1,100nF,C1591
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D64, D65, D66, D67, D68, D69, D7, D70, D71, D72, D8, D9",SK6805-EC15,72,SK6805-EC15,C2890035
J1,USB4510_NoPaste,1,USB_C_Receptacle_USB2.0,C428463
J5,Amphenol FCI FPC 8 pin 0.5 pitch,1,59453-081110EDHLF,
J6,532610371,1,BLDC,C293630
"J7, J8, J9",JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,3,SM04B-SRSS-TB(LF)(SN),C160404
L1,0805,1,3.3uH,C307744
Q1,SOT-23,1,MMBT4403,C78864
"Q2, Q3",SOT-23,2,BSS138,C2874697
"R1, R2",0603,2,5.1k,C105580
"R10, R5, R8, R9",0603,4,2.2k,C4190
"R11, R12",0603,2,100,C319953
"R13, R15, R16, R17, R18, R19, R20, R21, R22",0603,9,10k,C98220
R14,0603,1,8.2k,C114637
"R23, R24, R25, R26, R27, R28",0603,6,10K,
"R3, R4, R6, R7",2512,4,330,C19866
SW1,SW_SPST_PTS810,1,RST,C116501
SW2,SW_SPST_PTS810,1,Boot,C116501
U1,SOT-23-5,1,SN74LV1T34DBV,C100024
U10,SOT-23-5,1,LP5907MFX-2.8,
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,MT6701-CT-STD,C2856764
U3,VEML7700-TOP,1,VEML7700,C1850416
U4,SOT-223-3_TabPin2_GndOutIn,1,AMS1117-3.3,C6186
U5,SOT-23-6,1,USBLC6-2SC6,C7519
U6,SOIC-16_3.9x9.9mm_P1.27mm,1,HX711,C43656
U7,XCVR_ESP32-S3-WROOM-1U-N16R8,1,ESP32-S3-WROOM-1U-N16R8,
U8,QFN-20-1EP_3x3mm_P0.4mm_EP1.65x1.65mm_ThermalVias_LargerViaHoles,1,TMC6300-LA-T,N/A
U9,LGA12_1,1,VL53L0CXV0DH/1,C91199
